title;price_str;price;url
MSI  GeForce GTX 1650 Ventus XS 4G OC 4GB GDDR5;9 000 грн.;9000;https://www.olx.ua/d/obyavlenie/msi-geforce-gtx-1650-ventus-xs-4g-oc-4gb-gddr5-IDNmmZr.html?sd=1#58ecdf0f42
Видеокарта MSI 1660 Gaming C;18 000 грн.;18000;https://www.olx.ua/d/obyavlenie/videokarta-msi-1660-gaming-c-IDNmnbA.html?sd=1#58ecdf0f42
Видеокарта MSI Radeon HD 6790-PM2D1GD5/OC 1 ГБ GDDR5;1 700 грн.Договорная;1700;https://www.olx.ua/d/obyavlenie/videokarta-msi-radeon-hd-6790-pm2d1gd5-oc-1-gb-gddr5-IDNeXNu.html?sd=1#58ecdf0f42
AMD FirePro V4900 1Gb GDDR5 128bit 480cores (HD7570 \ Quadro 2000);760 грн.Договорная;760;https://www.olx.ua/d/obyavlenie/amd-firepro-v4900-1gb-gddr5-128bit-480cores-hd7570-quadro-2000-IDMXcif.html?sd=1#58ecdf0f42
!!! Видеокарта Gigabyte  GTX1650 4Gb   нерабочая;2 500 грн.;2500;https://www.olx.ua/d/obyavlenie/videokarta-gigabyte-gtx1650-4gb-nerabochaya-IDNeb4Z.html?sd=1#58ecdf0f42
AMD sapphire vapor-x r7 370 4gb 256bit;2 300 грн.;2300;https://www.olx.ua/d/obyavlenie/amd-sapphire-vapor-x-r7-370-4gb-256bit-IDNmmHo.html?sd=1#58ecdf0f42
Видеокарта Radeon Sapphire RX 5700 XT Nitro+ 8GB;38 000 грн.Договорная;38000;https://www.olx.ua/d/obyavlenie/videokarta-radeon-sapphire-rx-5700-xt-nitro-8gb-IDNmmpY.html#58ecdf0f42
GeForce RTX 2060 SUPER 8GB - NVIDIA по 1050$ - офис в Днепре.;27 826 грн.;27826;https://www.olx.ua/d/obyavlenie/geforce-rtx-2060-super-8gb-nvidia-po-1050-ofis-v-dnepre-IDNhXLn.html#58ecdf0f42
gtx 1080 8gb msi gaming x відеокарта;19 000 грн.;19000;https://www.olx.ua/d/obyavlenie/gtx-1080-8gb-msi-gaming-x-vdeokarta-IDNmlXu.html?sd=1#58ecdf0f42
Продам видеокарты и целую майнинг ферму;145 000 грн.Договорная;145000;https://www.olx.ua/d/obyavlenie/prodam-videokarty-i-tseluyu-mayning-fermu-IDMtL78.html#58ecdf0f42
Видеокарта Sapphire RX5700 8gb 10шт;31 801 грн.;31801;https://www.olx.ua/d/obyavlenie/videokarta-sapphire-rx5700-8gb-10sht-IDN5UYk.html#58ecdf0f42
Видеокарты MSI RTX 3070 VENTUS 8Gb (Гар 24 мес, есть 2 шт);33 390 грн.;33390;https://www.olx.ua/d/obyavlenie/videokarty-msi-rtx-3070-ventus-8gb-gar-24-mes-est-2-sht-IDNhXGm.html#58ecdf0f42
"Radeon R7 350X 4GB 128bit до 4K DX12; DVI DP!";1 600 грн.;1600;https://www.olx.ua/d/obyavlenie/radeon-r7-350x-4gb-128bit-do-4k-dx12-dvi-dp-IDNmlPI.html?sd=1#58ecdf0f42
Видеокарта nvidia quadro fx 580;500 грн.;500;https://www.olx.ua/d/obyavlenie/videokarta-nvidia-quadro-fx-580-IDMMgU3.html?sd=1#58ecdf0f42
